Ticker,Company,Price,Market Cap,Score
WAB,Westinghouse Air Brake Technolo,276.75,46958206976.0,58
WMT,Walmart Inc.,117.18,932527669248.0,65
DIS,Walt Disney Company (The),102.45,177905598464.0,73
WBD,"Warner Bros. Discovery, Inc. - ",26.95,67567337472.0,50
WM,"Waste Management, Inc.",213.31,85660123136.0,55
WAT,Waters Corporation,358.25,35175084032.0,60
WEC,"WEC Energy Group, Inc.",113.04,36820029440.0,63
WFC,Wells Fargo & Company,83.84,256566263808.0,68
WELL,Welltower Inc.,211.45,149265596416.0,60
WST,"West Pharmaceutical Services, I",329.71,23293216768.0,68
WDC,Western Digital Corporation,732.62,252521037824.0,75
WY,Weyerhaeuser Company,24.25,17485283328.0,50
WSM,"Williams-Sonoma, Inc.",226.06,26617798656.0,65
WMB,"Williams Companies, Inc. (The)",74.95,91663720448.0,58
WTW,Willis Towers Watson Public Lim,252.97,23892504576.0,75
WDAY,"Workday, Inc.",113.04,27917881344.0,58
WYNN,"Wynn Resorts, Limited",103.62,10754380800.0,50
XEL,Xcel Energy Inc.,78.81,49198682112.0,55
XYL,Xylem Inc.,111.77,26567000064.0,60
YUM,"Yum! Brands, Inc.",150.74,41547145216.0,55
ZBRA,Zebra Technologies Corporation,245.69,11703048192.0,58
ZBH,"Zimmer Biomet Holdings, Inc.",87.09,16848647168.0,55
ZTS,Zoetis Inc.,75.89,31815223296.0,65
